code,m_number,opendate,o_code,o_codename,d_o_code,d_o_codename,closedate,op_days,area,address,r_address,address_gu,name,type,t_area,status
3020000,3020000-104-2015-00120,2015-12-17,3,폐업,2,폐업,2016-12-30,379,6.6,서울특별시 용산구 용문동 38-58번지 지상1층 ,"서울특별시 용산구 효창원로 79, 지상1층 (용문동)",용산구,CU,편의점,6.6,1
3020000,3020000-104-2011-00030,2011-02-24,3,폐업,2,폐업,2016-05-23,1915,3.3,서울특별시 용산구 용문동 5-94번지 (지상1층) ,"서울특별시 용산구 효창원로 117 (용문동,(지상1층))",용산구,세븐일레븐,편의점,3.3,1
3020000,3020000-104-2011-00033,2011-02-24,3,폐업,2,폐업,2013-10-31,980,3.24,서울특별시 용산구 청파동3가 15-5번지 (지상1층) ,,용산구,세븐일레븐,편의점,3.24,1
3020000,3020000-104-2015-00084,2015-09-14,3,폐업,2,폐업,2016-12-30,473,3.3,서울특별시 용산구 후암동 244-71번지 지상1층 ,"서울특별시 용산구 후암로 42-2, 지상1층 (후암동)",용산구,CU,편의점,3.3,1
3020000,3020000-104-2015-00037,2015-05-01,3,폐업,2,폐업,2016-05-19,384,3.3,서울특별시 용산구 동빙고동 7-46번지 지하1층 ,"서울특별시 용산구 장문로 20, 지하1층 (동빙고동)",용산구,GS25,편의점,3.3,1
3020000,3020000-104-2018-00032,2018-03-21,3,폐업,2,폐업,2021-03-11,1086,6,서울특별시 용산구 한남동 657-36 지하1층 ,"서울특별시 용산구 대사관로 35, 지하1층 (한남동)",용산구,이마트24,편의점,6,1
3020000,3020000-104-2014-00039,2014-04-18,3,폐업,2,폐업,2021-06-15,2615,3,서울특별시 용산구 동자동 45 비동 101호,서울특별시 용산구 한강대로 372 (동자동),용산구,CU,편의점,3,1
3020000,3020000-104-2014-00069,2014-06-17,3,폐업,2,폐업,2014-12-29,195,3.3,서울특별시 용산구 이태원동 243-37번지 2층 302호 ,"서울특별시 용산구 회나무로44길 46, 2층 302호 (이태원동)",용산구,GS25,편의점,3.3,1
3020000,3020000-104-2012-00047,2012-06-27,3,폐업,2,폐업,2020-12-30,3108,3.3,서울특별시 용산구 한강로3가 40-999 지상3층 980호,"서울특별시 용산구 한강대로23길 55, 지상3층 980호 (한강로3가, 아이파크몰)",용산구,세븐일레븐,편의점,3.3,1
3020000,3020000-104-2015-00106,2015-11-17,3,폐업,2,폐업,2017-07-24,615,6.6,서울특별시 용산구 이태원동 671번지 지상1층 101호동 ,"서울특별시 용산구 녹사평대로 234, 101호동 지상1층 (이태원동)",용산구,GS25,편의점,6.6,1
3020000,3020000-104-2016-00130,2016-11-04,3,폐업,2,폐업,2019-10-18,1078,3.3,서울특별시 용산구 한남동 726-494번지 ,서울특별시 용산구 이태원로 지하 287 (한남동),용산구,GS25,편의점,3.3,1
3020000,3020000-104-2016-00133,2016-11-15,3,폐업,2,폐업,2021-01-21,1528,3.3,서울특별시 용산구 한강로2가 15-14 21동 2018호,"서울특별시 용산구 새창로 181, 21동 2층 2018호 (한강로2가)",용산구,이마트24,편의점,3.3,1
3020000,3020000-104-2011-00024,2011-02-22,3,폐업,2,폐업,2015-12-02,1744,3.3,서울특별시 용산구 효창동 5-166번지 (지상1층) ,"서울특별시 용산구 효창원로69나길 13 (효창동,(지상1층))",용산구,세븐일레븐,편의점,3.3,1
3020000,3020000-104-2011-00025,2011-02-23,3,폐업,2,폐업,2021-09-02,3844,3.3,서울특별시 용산구 이촌동 302-82 (지상1층) ,,용산구,세븐일레븐,편의점,3.3,1
3020000,3020000-104-1996-02340,1996-07-20,3,폐업,2,폐업,1998-05-29,678,4.3,서울특별시 용산구 보광동 234-1번지 ,,용산구,GS25,편의점,4.3,1
3020000,3020000-104-2015-00044,2015-05-15,3,폐업,2,폐업,2017-08-02,810,3.3,서울특별시 용산구 서계동 33-57번지 지상1층 ,"서울특별시 용산구 청파로85가길 14, 지상1층 (서계동)",용산구,기타,편의점,3.3,1
3020000,3020000-104-2014-00105,2014-09-12,3,폐업,2,폐업,2017-03-20,920,10,서울특별시 용산구 후암동 251-15번지 1층 ,"서울특별시 용산구 후암로 8-1, 1층 (후암동)",용산구,기타,편의점,10,1
3020000,3020000-104-2018-00018,2018-02-20,3,폐업,2,폐업,2019-07-02,497,6.6,서울특별시 용산구 한강로2가 342번지 래미안용산 지상1층 R108-1호 ,"서울특별시 용산구 한강대로 95, 지상1층 R108-1호 (한강로2가, 래미안용산)",용산구,CU,편의점,6.6,1
3020000,3020000-104-2017-00092,2017-07-12,3,폐업,2,폐업,2022-01-05,1638,6.6,서울특별시 용산구 한강로3가 40-999 ,"서울특별시 용산구 한강대로23길 55, 서관동 7층 4-2호 (한강로3가)",용산구,이마트24,편의점,6.6,1
3020000,3020000-104-1996-02342,1996-09-20,3,폐업,2,폐업,2000-02-22,1250,14.2,서울특별시 용산구 이태원동 126-15번지 ,,용산구,기타,편의점,14.2,1
3020000,3020000-104-2013-00096,2013-12-13,3,폐업,2,폐업,2019-09-30,2117,6.6,서울특별시 용산구 갈월동 1-5번지 지상1층 ,"서울특별시 용산구 한강대로102길 12 (갈월동, 1-5 지상1층 )",용산구,GS25,편의점,6.6,1
